UniqueCount	AmbigCount
0	35
0	30
0	15
0	20
0	0
4	0
0	0
41	0
0	0
1	0
2	28
0	23
0	24
1	6
2	6
4	0
0	0
0	17
0	9
0	17
0	12
0	12
0	0
0	0
0	2
0	2
0	1
0	2
0	3
0	2
0	3
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
97	0
0	3
1	3
0	0
0	0
0	3
0	2
0	2
0	3
0	0
1	0
2	5
0	9
0	9
0	9
0	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	0
6	0
0	7
0	7
1	0
0	0
3	12
2	5
0	7
0	0
0	0
0	0
3	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
1	4
2	4
0	0
0	22
0	21
0	19
1	0
2	1
0	6
0	3
0	6
0	4
2	4
18	0
0	0
0	206
0	226
1	189
1	190
0	191
0	191
0	4
0	4
0	22
0	22
6	22
0	11
0	11
0	14
0	11
0	6
0	13
0	13
0	0
3	0
0	0
19	0
0	5
0	5
0	4
0	0
0	7
0	7
1	7
0	0
0	0
1	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	26
0	26
1	13
2	8
0	8
0	0
0	0
0	0
0	0
1	0
9	0
0	2
1	2
0	3
0	3
4	0
0	0
0	0
0	0
4	0
2	0
0	15
0	15
0	10
0	10
0	10
0	11
0	12
0	12
0	9
1	9
0	6
2	0
1	5
0	4
0	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	5
0	4
0	12
0	12
0	9
0	0
3	11
0	11
0	8
0	5
12	0
1	1
0	1
0	0
0	0
0	0
0	7
0	9
0	6
0	9
0	13
0	13
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
1	0
25	0
0	9
3	9
0	7
4	0
0	0
0	28
2	27
0	24
7	0
0	0
0	0
0	0
0	0
0	0
0	6
0	5
0	5
0	7
0	5
0	6
0	3
0	6
0	0
1	0
0	0
0	0
0	2
0	0
0	0
0	14
0	12
1	13
0	12
23	0
0	0
0	0
1	0
0	0
0	0
0	17
0	17
0	8
0	0
18	0
2	11
0	7
0	6
1	9
0	5
0	0
3	0
0	7
0	7
0	7
1	8
0	8
0	7
0	0
4	27
0	27
0	15
1	19
0	9
1	5
6	39
0	39
0	9
0	9
0	0
0	0
5	22
0	22
36	0
23	0
8	0
0	3
2	11
0	10
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	0
0	4
0	4
0	4
0	4
0	2
0	2
0	2
0	2
0	2
0	2
42	0
0	0
0	0
6	8
0	8
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	14
0	14
0	14
0	15
0	15
9	0
0	0
0	0
0	0
0	0
4	0
2	0
0	1
0	1
0	0
0	0
0	0
0	0
0	16
0	16
0	14
0	10
0	5
0	4
0	8
0	8
0	7
1	4
0	4
0	3
0	4
0	0
0	0
0	0
0	2
1	2
1	2
0	96
0	89
3	85
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
20	3
0	3
0	0
16	0
0	0
2	8
0	8
35	0
0	44
2	44
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	110
0	113
52	147
0	106
0	71
6	1
0	0
2	0
0	0
0	0
0	0
0	0
0	0
2	5
0	5
0	1
0	1
0	0
0	13
0	13
4	13
0	13
0	9
0	9
0	9
0	9
0	7
0	1
0	1
0	1
0	1
1	4
0	4
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	3
0	3
10	0
2	0
1	0
1	0
0	0
0	0
0	16
0	16
0	16
0	16
0	16
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	3
0	2
0	1
0	2
0	120
0	120
34	115
0	75
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
14	0
0	2
0	1
0	2
1	0
0	0
3	5
0	5
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	1
0	1
1	0
1	0
0	0
0	1
0	8
0	5
0	6
0	6
0	6
0	0
2	0
9	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	12
0	11
0	11
0	10
0	7
0	8
0	4
0	8
1	8
1	0
3	4
0	4
0	1
0	1
0	0
1	9
0	9
0	0
0	0
0	0
0	0
1	0
0	1
0	1
0	0
0	0
0	0
0	7
0	7
0	7
0	1
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	6
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
1	1
0	1
4	0
0	0
0	0
0	0
0	0
0	0
0	11
0	11
0	11
0	10
0	10
0	0
1	7
0	7
0	0
0	1
4	0
4	0
0	0
1	1
0	1
0	0
0	20
20	20
0	0
0	0
0	0
0	41
7	42
0	43
0	0
2	10
0	8
0	4
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
7	62
1	62
3	3
0	3
0	14
0	13
0	10
0	14
0	0
0	0
0	0
1	0
3	0
4	0
0	0
0	0
0	0
9	57
0	57
0	52
0	0
0	0
0	0
0	0
0	0
24	0
0	23
1	23
0	23
0	0
0	0
0	1
1	1
0	11
0	10
0	11
0	8
0	8
0	5
0	0
2	0
0	0
0	5
0	5
2	0
0	0
2	0
0	3
0	4
0	4
0	0
0	0
0	0
6	28
1	28
0	0
0	0
1	0
0	9
1	9
0	11
3	11
3	10
0	10
0	7
0	0
5	0
0	11
0	11
0	0
0	9
0	9
0	0
0	0
0	0
0	0
14	0
0	1
0	0
3	5
0	5
0	5
2	2
0	2
0	1
0	3
0	3
0	1
0	1
0	8
1	8
0	8
0	8
0	0
0	0
7	14
0	14
0	11
0	11
0	11
0	2
0	2
0	0
0	4
0	3
0	4
0	3
0	3
0	5
0	6
0	5
0	5
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	6
0	6
0	4
0	4
0	1
13	35
0	35
0	1
0	1
3	20
12	20
1	0
0	0
0	0
0	0
0	1
0	0
0	1
1	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
16	0
1	8
0	8
0	0
0	0
0	0
0	0
0	6
2	10
0	9
0	6
0	0
0	0
0	0
0	16
0	15
0	15
0	15
0	0
20	0
3	28
0	28
2	30
0	18
2	20
0	20
0	0
12	0
4	0
0	8
0	8
0	7
0	7
0	0
0	0
0	0
0	0
22	0
0	2
0	2
0	2
0	2
0	2
0	1
0	2
0	0
0	0
0	0
0	12
0	10
0	7
0	10
0	8
0	9
0	1
0	1
6	0
5	0
0	2
0	2
0	1
0	1
0	0
0	0
0	7
0	7
0	7
0	7
0	7
2	0
0	0
1	0
19	0
2	1
0	1
5	0
0	0
0	0
0	0
0	0
36	0
0	0
0	0
0	0
0	8
0	8
0	8
0	0
0	2
0	2
1	2
0	2
0	3
1	4
0	4
0	0
0	0
0	9
0	7
1	10
0	8
0	8
0	0
1	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
1	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
2	14
0	14
4	0
1	0
0	0
0	0
0	0
0	0
0	0
7	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	10
0	10
0	1
1	0
0	4
0	3
0	4
0	0
0	0
0	24
0	23
0	24
0	23
0	22
0	6
0	6
0	5
0	0
0	0
0	0
0	0
2	11
0	11
2	1
0	0
3	5
0	5
0	0
0	0
10	0
0	0
0	0
1	0
9	0
0	0
0	0
0	0
1	0
5	0
0	0
0	2
0	2
0	4
0	4
0	4
0	3
0	4
0	4
1	0
0	1
0	1
0	1
0	0
0	6
0	6
0	5
0	4
0	4
0	0
11	1
2	2
0	0
19	0
8	1
100	2
12	0
0	0
1	0
0	0
0	0
0	13
0	13
0	9
0	13
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	3
0	3
0	0
0	0
1	0
0	0
0	35
0	35
0	35
0	35
0	27
3	0
3	0
0	0
0	0
0	0
2	12
0	9
0	12
3	9
0	0
0	0
3	2
1	2
0	0
0	0
0	5
0	2
1	5
0	3
0	1
0	0
0	0
0	0
0	0
0	4
1	3
0	3
0	0
1	0
0	0
0	0
0	0
0	5
0	5
4	2
0	2
0	24
14	24
4	0
0	0
0	19
0	19
0	12
0	17
4	7
0	7
0	0
0	0
0	3
0	3
0	3
0	3
0	0
0	0
20	0
0	9
0	10
0	9
0	9
0	6
0	5
0	6
0	6
0	0
0	1
0	2
0	2
0	31
1	31
0	31
1	20
1	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
8	0
0	0
0	10
2	10
0	3
8	3
0	0
0	11
0	10
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	1
0	0
0	1
0	0
0	0
1	0
0	0
1	0
0	0
0	11
0	6
0	11
0	6
0	6
0	6
0	2
0	2
0	0
0	9
0	9
1	10
1	10
0	2
0	5
0	3
0	1
0	0
9	0
0	0
0	0
0	0
0	2
0	2
0	0
22	0
0	135
12	135
7	20
0	20
0	18
0	19
0	8
0	9
0	9
0	9
0	9
0	9
0	8
0	7
3	0
0	2
0	2
0	2
5	0
2	0
4	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
15	0
6	0
0	9
0	9
5	0
7	0
0	16
4	16
0	13
0	0
0	0
0	0
67	163
8	163
5	46
0	36
1	31
0	41
0	9
0	9
0	9
2	0
0	1
0	1
0	0
1	2
0	2
0	1
0	0
0	0
1	80
0	52
0	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
4	0
1	13
1	13
0	2
0	2
0	3
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
2	2
0	0
0	0
1	0
1	0
0	0
0	0
1	0
1	0
0	0
2	0
0	9
0	9
3	9
0	2
0	2
0	2
0	1
0	1
0	0
0	0
27	0
0	0
1	0
0	0
0	0
16	0
0	0
0	0
17	0
0	0
0	0
0	0
2	6
0	6
0	5
5	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	8
0	0
0	5
0	5
0	0
0	0
0	20
0	21
0	19
0	14
1	20
0	1
0	0
0	0
0	8
0	8
0	0
1	2
0	2
6	0
0	4
1	4
0	4
0	2
0	2
0	2
0	2
0	2
0	1
0	1
20	0
0	0
0	0
6	0
0	4
0	3
2	4
0	3
1	1
0	1
0	0
0	0
0	0
0	5
0	1
0	1
0	5
0	1
2	10
0	11
0	12
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
5	0
0	6
0	7
0	6
0	6
0	4
0	2
0	4
0	4
30	0
0	5
0	5
0	5
0	5
0	5
0	5
0	0
0	3
1	3
1	0
0	5
0	5
0	5
0	5
0	4
0	5
0	5
0	5
0	0
0	10
2	10
0	2
0	2
0	2
0	1
0	2
1	2
0	1
0	0
0	0
2	2
1	2
1	6
2	6
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	8
4	8
0	13
0	13
0	12
0	12
0	11
0	0
11	0
0	2
0	2
0	2
0	0
2	3
0	3
0	3
2	3
0	0
3	0
0	0
15	0
0	3
9	3
0	0
50	1
0	0
4	0
0	3
0	4
0	4
0	4
0	0
0	0
0	0
1	47
0	62
2	48
0	18
1	18
0	0
0	0
0	0
0	13
0	13
0	13
0	13
0	0
0	0
0	0
0	0
0	4
1	4
17	0
1	3
0	3
0	42
0	57
0	57
0	57
0	76
0	57
0	43
0	0
0	0
0	0
0	0
0	0
0	14
0	21
0	21
1	1
0	1
0	3
0	3
0	3
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	6
0	9
0	8
3	5
0	5
0	6
0	0
0	5
0	5
0	0
0	0
0	0
0	4
0	3
0	4
0	3
0	24
0	24
0	25
0	25
0	33
0	29
1	0
3	0
3	0
3	7
1	7
1	0
2	0
0	0
0	1
0	3
0	3
0	1
0	3
0	0
1	0
0	0
0	0
0	0
7	0
0	2
0	2
1	2
0	2
0	2
0	13
0	11
0	13
0	0
0	0
0	0
1	28
0	28
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
38	0
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	2
0	2
0	2
0	2
0	2
3	0
3	18
0	18
3	25
0	25
4	0
1	43
0	41
0	34
0	41
0	6
0	6
0	7
0	6
0	7
0	1
0	1
1	4
0	4
1	26
0	25
0	22
0	22
0	23
0	23
1	0
0	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
1	3
0	3
0	0
1	3
0	3
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
1	25
3	25
0	8
2	9
0	6
0	7
0	0
0	0
1	2
0	2
0	8
0	8
0	25
0	25
0	12
6	12
0	6
0	0
0	4
0	4
0	11
1	11
0	6
4	0
0	5
0	5
0	5
0	0
3	0
0	7
0	9
0	5
0	7
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	1
6	0
1	0
0	0
7	21
0	21
0	18
0	14
0	13
0	14
0	15
0	15
0	0
0	8
0	6
0	7
0	8
0	7
0	0
0	0
0	0
7	37
0	37
0	0
0	0
0	7
0	6
1	4
0	5
0	0
0	0
0	0
0	0
0	0
3	0
0	0
17	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	7
0	7
0	5
0	6
0	6
0	6
0	6
0	31
0	24
0	26
0	24
0	7
0	20
0	20
0	20
0	19
0	3
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
1	10
0	0
0	0
0	0
0	0
0	0
5	0
1	0
0	13
0	14
0	11
0	0
9	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	4
0	5
0	5
0	4
0	4
0	4
6	0
0	1
0	1
0	1
0	1
1	0
0	2
0	2
0	1
4	9
0	9
0	9
0	5
0	27
0	27
3	11
0	11
0	0
0	9
0	12
1	12
0	0
0	0
0	0
0	0
0	0
0	2
3	2
0	0
0	0
1	0
21	0
0	0
2	5
0	5
0	10
0	10
0	9
0	2
1	2
0	2
0	0
0	0
0	26
0	35
0	46
0	34
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
2	14
0	14
0	1
0	1
2	19
0	18
0	17
0	19
0	5
0	5
14	0
0	0
0	0
0	0
0	2
0	2
0	2
3	0
6	0
0	4
0	4
0	0
0	0
0	0
0	0
1	17
0	17
0	17
0	0
0	5
0	5
0	5
0	4
0	3
0	3
0	0
0	0
0	20
0	20
0	0
2	0
0	7
0	7
0	7
0	7
0	8
0	8
0	6
3	6
0	6
0	0
0	0
0	1
0	0
0	1
5	2
0	2
0	5
4	5
0	4
0	2
0	0
0	2
7	102
57	102
0	8
0	9
0	8
0	7
1	6
0	5
0	5
0	4
0	5
4	2
0	2
0	2
0	2
0	2
1	0
2	19
0	19
0	3
0	3
0	3
0	3
0	3
3	9
0	10
0	8
0	10
0	9
1	10
4	0
6	0
0	3
0	3
0	0
1	0
15	1
0	8
0	8
0	8
0	8
0	8
0	0
1	17
1	17
0	0
0	0
11	0
1	5
0	5
5	0
0	1
0	0
0	23
1	23
1	0
0	0
0	0
0	0
0	0
0	0
0	32
25	32
9	0
6	0
0	0
0	0
1	7
0	7
0	7
3	19
7	19
0	38
2	38
0	35
7	35
0	0
1	0
0	6
1	6
0	2
0	2
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	15
1	15
0	5
0	5
0	1
5	0
0	0
0	0
8	0
12	1
1	9
0	9
0	15
3	15
0	3
0	3
0	1
0	2
0	2
0	1
0	4
0	4
0	0
2	18
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	2
0	3
0	1
0	4
0	1
0	4
0	7
0	6
0	6
0	7
0	19
0	16
0	21
0	0
0	6
0	6
1	1
0	1
0	4
0	4
0	4
0	4
1	0
0	0
0	0
0	5
3	5
0	6
0	3
0	6
0	0
0	3
0	3
0	3
0	3
0	2
2	2
0	9
0	9
0	9
0	9
0	5
0	4
0	4
0	4
2	0
0	0
0	0
1	5
0	5
0	9
0	9
16	0
0	0
0	0
10	0
0	0
0	7
0	7
0	6
0	7
0	8
0	1
0	1
0	6
0	6
0	6
0	1
0	6
0	6
1	6
1	2
0	2
0	2
0	2
5	0
0	3
0	3
0	0
0	0
0	2
0	2
0	2
0	0
0	2
0	1
0	2
1	14
0	14
0	13
0	3
0	3
6	0
0	0
0	0
0	0
0	0
0	0
13	0
0	6
0	6
0	0
0	0
13	0
2	7
0	7
0	0
0	18
1	18
6	22
0	21
0	19
0	18
0	30
0	32
0	28
0	28
0	25
0	13
1	5
0	5
0	0
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
1	11
0	12
0	12
0	0
93	0
0	7
0	7
0	6
0	7
0	7
1	7
0	9
0	5
0	4
0	8
0	3
0	3
3	0
32	0
1	0
0	1
0	1
0	4
0	4
0	4
0	2
0	14
0	15
0	15
0	6
1	0
29	0
0	0
0	0
0	0
0	12
0	0
8	4
0	4
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
3	15
0	16
0	14
0	13
4	15
0	15
16	0
0	1
0	1
0	0
0	1
0	0
0	1
0	0
0	51
0	67
0	57
3	1
0	1
0	0
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
1	0
0	0
9	0
0	0
0	0
0	0
18	30
0	30
0	3
0	9
0	8
0	9
0	8
1	1
0	1
0	0
0	6
0	6
0	5
0	5
5	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	4
5	20
0	20
0	0
0	3
0	2
0	1
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	0
1	0
1	1
0	1
0	9
0	10
0	8
0	8
0	9
0	9
0	10
0	11
0	9
0	8
0	9
0	0
1	0
3	0
1	0
1	12
10	12
0	0
0	0
0	2
2	2
2	0
0	11
0	11
0	11
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
8	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
5	0
1	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
1	23
0	23
0	0
0	0
0	0
0	0
0	1
0	1
3	0
0	7
0	7
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	2
0	2
1	2
0	2
0	0
0	0
0	8
0	7
0	7
6	14
0	14
0	13
0	19
0	16
0	17
0	15
0	16
5	14
0	9
0	5
0	9
0	9
0	0
0	0
0	34
0	29
0	29
2	33
0	28
0	17
0	12
0	13
4	14
0	13
0	1
0	1
0	0
0	1
0	2
0	2
0	2
0	2
2	2
14	0
1	0
0	0
0	0
0	9
0	9
0	0
0	0
0	0
2	2
0	0
0	3
0	3
0	3
0	3
0	2
0	1
0	5
1	5
0	0
0	0
0	0
0	0
0	0
8	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	15
6	16
0	16
0	3
0	3
0	3
0	2
0	2
0	3
0	2
9	0
3	0
0	0
0	0
0	0
0	9
0	9
44	0
2	0
0	7
2	7
0	7
0	0
0	0
0	0
32	0
0	13
0	12
0	12
0	12
0	12
0	13
1	4
1	4
0	6
0	5
0	6
0	6
0	4
0	44
0	49
0	40
0	9
0	9
1	7
0	6
27	0
0	3
0	3
0	3
0	3
0	3
1	2
0	3
0	3
0	3
0	3
0	3
0	0
12	0
0	0
0	0
0	0
0	0
0	11
0	16
0	16
0	12
0	12
1	0
0	0
0	0
0	0
0	12
2	12
0	16
0	10
6	4
2	0
0	17
0	17
0	17
0	17
0	17
0	0
7	0
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
1	0
0	0
0	3
0	3
0	0
0	0
0	0
14	0
0	0
0	8
0	6
0	8
0	4
0	8
0	2
0	2
0	2
0	2
1	0
0	7
0	7
2	1
0	1
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	0
9	0
0	9
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	10
0	4
6	9
0	9
9	60
0	65
0	61
0	32
0	34
13	45
0	0
14	0
0	0
0	20
0	20
0	20
0	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	15
1	13
1	7
0	7
0	6
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
1	0
0	6
2	6
1	4
0	10
2	10
0	0
2	0
0	1
0	2
0	2
0	6
0	6
1	6
0	6
0	0
0	0
0	1
0	1
14	0
0	20
0	17
0	19
0	13
7	1
30	1
11	15
0	15
0	1
0	1
0	0
1	1
0	1
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	1
0	1
6	0
0	0
0	2
0	2
0	1
0	2
0	4
2	4
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
0	0
0	1
2	1
0	0
0	1
0	0
0	0
0	1
0	0
0	0
6	0
2	0
0	0
1	0
2	0
12	0
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
1	16
0	16
0	16
0	16
0	15
5	17
4	22
0	18
0	0
18	0
0	0
0	0
0	0
0	5
0	5
1	5
1	0
22	0
3	10
0	10
1	7
2	5
16	0
0	0
0	11
0	9
0	6
0	8
0	0
0	0
0	0
0	8
1	8
0	8
0	8
2	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
61	0
0	6
0	7
3	7
0	4
4	0
0	0
0	0
0	0
0	0
4	6
0	6
0	6
0	3
0	1
0	2
0	3
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	13
0	13
0	12
0	0
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	0
0	2
0	2
0	2
6	1
0	1
4	0
3	10
0	10
2	0
2	1
0	1
3	1
5	1
1	0
0	3
0	4
0	3
0	2
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	5
0	5
0	4
0	4
0	1
0	2
0	2
0	2
4	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
3	0
0	2
0	2
6	3
0	3
0	3
0	3
0	3
1	14
0	14
0	0
0	0
0	0
0	0
0	0
0	12
0	14
0	14
1	11
3	11
9	0
60	0
0	0
5	0
1	7
0	7
0	0
0	3
3	3
2	0
0	3
0	3
0	2
0	0
0	0
0	23
0	23
3	23
0	7
0	7
0	7
0	6
0	1
0	1
0	1
1	1
4	0
11	0
1	0
0	11
0	11
0	10
0	10
0	10
0	2
1	2
47	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
3	12
0	12
0	0
0	6
44	0
2	0
0	0
0	5
0	6
0	6
4	0
2	0
8	0
1	0
0	0
0	0
0	0
7	0
19	0
0	0
12	1
1	0
3	0
1	0
0	17
0	10
0	17
0	21
0	21
27	0
0	7
0	7
0	7
0	5
8	0
0	0
2	18
0	18
0	14
0	10
0	14
0	5
0	5
0	4
3	0
0	0
0	2
0	0
0	1
0	2
2	2
0	3
0	3
0	3
0	3
0	3
0	2
7	4
0	4
0	0
2	3
0	3
0	5
0	5
0	5
0	5
0	0
0	1
0	1
0	0
0	0
0	133
0	142
0	142
0	131
0	136
1	0
0	24
0	21
0	18
8	0
5	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	0
0	0
0	0
4	0
0	1
0	1
0	1
0	18
0	17
0	15
0	18
0	1
0	0
0	0
0	4
0	4
0	4
0	3
0	3
0	0
0	0
0	0
6	0
0	6
0	4
0	3
0	4
0	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
4	3
0	3
77	0
0	0
4	0
5	0
1	0
0	0
0	0
0	0
0	0
0	9
0	11
0	8
0	8
0	7
0	8
0	11
0	6
1	4
2	4
4	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
2	13
0	13
0	13
5	0
0	4
0	4
0	0
0	6
0	6
3	6
0	6
0	6
0	0
0	0
0	82
0	81
0	36
0	35
0	0
0	7
0	7
0	7
0	7
0	0
0	4
0	4
0	5
1	5
0	5
0	12
0	10
0	7
0	9
0	7
0	7
0	5
0	10
0	8
0	1
0	1
0	2
0	2
0	1
0	2
0	0
8	28
2	28
1	2
0	7
0	7
0	1
0	1
0	1
0	1
1	1
0	1
0	5
0	3
0	5
0	3
0	5
0	3
0	1
0	3
0	0
12	0
6	20
0	20
0	11
0	6
0	8
21	0
0	35
0	29
1	34
1	1
0	1
0	1
2	0
6	20
0	20
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	1
0	1
0	0
0	0
2	0
0	0
2	0
12	4
7	17
0	17
0	28
0	26
2	25
0	25
1	14
0	14
1	0
0	0
0	3
0	3
0	3
0	3
0	3
0	0
0	9
1	9
0	9
0	0
0	0
0	5
0	5
29	0
3	0
1	6
0	6
0	6
79	0
0	12
0	12
0	12
0	7
0	9
0	7
0	6
0	4
0	4
0	5
0	0
0	0
0	3
0	3
0	4
0	4
4	4
0	4
0	4
1	4
0	2
0	4
0	6
0	0
4	5
0	5
0	4
57	0
2	0
0	0
1	0
2	5
3	5
0	1
0	2
0	1
0	2
0	2
0	18
0	14
0	15
0	0
0	2
0	2
0	5
0	5
0	5
0	5
0	5
0	4
0	4
0	4
0	0
0	0
0	0
0	1
0	1
0	1
2	16
0	16
0	10
0	14
0	13
0	14
0	14
0	21
0	18
0	18
0	16
8	34
0	6
0	25
0	96
1	271
0	31
17	284
0	1
0	33
4	10
0	63
5	70
0	50
0	52
0	177
0	202
0	55
0	10
0	39
52	0
0	26
0	60
37	34
0	65
0	19
0	7
0	0
0	0
0	34
0	33
0	21
0	22
315	49
0	71
0	72
0	2
0	34
1	0
11	25
0	25
5	0
0	0
4	0
1	0
2	17
0	17
0	12
0	2
0	0
2	0
0	0
0	0
0	0
0	0
4	0
0	11
0	11
0	14
0	10
0	10
0	13
0	0
0	0
0	0
0	40
8	40
0	3
0	3
0	3
0	3
0	0
0	6
0	6
0	6
0	26
0	22
0	26
0	19
3	21
0	21
0	21
1	21
0	21
0	21
0	12
0	9
0	7
0	7
0	8
1	0
0	1
0	0
4	0
1	1
0	1
0	1
1	20
3	20
44	0
0	3
0	3
0	3
0	3
0	3
0	0
1	0
0	3
0	3
0	3
0	3
0	2
0	2
0	15
0	10
0	6
0	0
0	0
5	0
0	16
0	16
0	16
11	11
2	0
0	0
0	0
0	1
0	1
6	18
0	18
0	18
0	16
1	16
0	0
2	0
3	0
1	5
0	5
1	0
0	0
0	0
0	0
0	0
0	0
33	0
0	0
5	0
0	14
0	12
0	12
1	0
0	0
0	41
0	47
0	41
0	40
0	40
0	40
1	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
